编号,模块,用例标题,优先级,前置条件,操作步骤,预期结果,预期截图,实际结果,实际截图,状态,备注
M11-P1-01,i18n,"长中文不溢出",P1,"无","1. 触发长文案","① 不截断/溢出","M11-P1-01-① 长文案.png",,,⚪ 未测,
M11-P1-02,i18n,"中英切换即时更新",P1,"无","1. 切换语言","① 即时更新","M11-P1-02-① 切换.png",,,⚪ 未测,
M11-P1-03,i18n,"全部 button/tooltip/placeholder 中文化",P1,"无","1. 全量浏览","① 全部中文","M11-P1-03-① 全量.png",,,⚪ 未测,
M12-P0-01,部署,"部署后 tag 增删（非 localStorage）",P0,"部署/隐私模式","1. 增删 tag","① 成功 不依赖本地缓存","M12-P0-01-① 部署 tag.png",,,⚪ 未测,关联 KNOWN-PITFALLS#Tag线上静默失败
M12-P0-02,部署,"隐私模式 tag 功能正常",P0,"隐私模式","1. 增删 tag","① 全部成功","M12-P0-02-① 隐私模式.png",,,⚪ 未测,
M12-P0-03,部署,"SERVER_MAPPING 环境变量生效",P0,"无","1. 切换服务器","① 切换正常 host 解析正确","M12-P0-03-① mapping.png",,,⚪ 未测,关联 KNOWN-PITFALLS#SERVER_MAPPING
M12-P0-04,部署,"wss 连接成功",P0,"无","1. F12 → Network → WS","① 101 切换协议成功","M12-P0-04-① wss.png",,,⚪ 未测,
M12-P1-01,部署,"不同设备/网络一致",P1,"无","1. 多设备访问","① 表现一致","M12-P1-01-① 多设备.png",,,⚪ 未测,
M12-P1-02,部署,"HTTPS 无 mixed content",P1,"无","1. 看 Console","① 无 mixed content 警告","M12-P1-02-① mixed.png",,,⚪ 未测,
M12-P1-03,部署,"环境变量缺失 fallback",P1,"无","1. 缺变量启动","① 不白屏 有 fallback","M12-P1-03-① fallback.png",,,⚪ 未测,
X-P0-01,状态联动,"搜索→切换服务器→结果刷新",P0,"无","1. 搜索 → 切换服务器","① 结果刷新 不显示旧服务器数据","X-P0-01-① 切换刷新.png",,,⚪ 未测,
X-P0-02,状态联动,"登录→搜索→登出 标签/树降级",P0,"无","1. 登录 → 搜索 → 登出","① 标签/树降级 不报错","X-P0-02-① 降级.png",,,⚪ 未测,
X-P0-03,状态联动,"详情改标签→关闭→过滤器同步",P0,"无","1. 详情增删 → 关
2. 看 TagsFilter","① 同步更新","X-P0-03-① 同步.png",,,⚪ 未测,
X-P1-01,状态联动,"过滤器+换服务器 行为合理",P1,"无","1. 设过滤 → 换服务器","① 过滤保留或清除有合理表现","X-P1-01-① 行为.png",,,⚪ 未测,
X-P1-02,状态联动,"改 embedding 配置后结果变化",P1,"无","1. 改配置 → 重搜","① 结果变化","X-P1-02-① embedding.png",,,⚪ 未测,
X-P1-03,状态联动,"快速 grid↔list 切换无错",P1,"无","1. 快速切换","① 无渲染错误","X-P1-03-① 切换.png",,,⚪ 未测,
X-P1-04,状态联动,"前进/后退 URL 与 UI 同步",P1,"无","1. 浏览器前后退","① UI 与 URL 同步","X-P1-04-① 同步.png",,,⚪ 未测,
X-P1-05,状态联动,"多 tab localStorage 无冲突",P1,"无","1. 开两 tab 操作","① 不冲突","X-P1-05-① 多 tab.png",,,⚪ 未测,
REGR-01,历史回归,"Tag 隐私模式可用",REGR,"隐私模式","1. 增删 tag","① 不依赖缓存 全部成功","REGR-01-① 隐私 tag.png",,,⚪ 未测,关联 KNOWN-PITFALLS#Tag线上失效
REGR-02,历史回归,"SERVER_MAPPING 非空别名解析",REGR,"无","1. 切换 nucleus","① resolveNucleusHost 正确","REGR-02-① 解析.png",,,⚪ 未测,
REGR-03,历史回归,"SelectionModeBar 无抖动",REGR,"无","1. 第一次选中","① 不抖动","REGR-03-① 抖动.png",,,⚪ 未测,
REGR-04,历史回归,"Checkbox 点击区域足够",REGR,"无","1. 快速点 10 次","① 命中率 > 95%","REGR-04-① 命中.png",,,⚪ 未测,
REGR-05,历史回归,"选中后双击仍可看详情",REGR,"已选中","1. 双击其他卡","① 弹详情","REGR-05-① 双击详情.png",,,⚪ 未测,
REGR-06,历史回归,"动画不延迟",REGR,"无","1. 快速选 5 张","① 流畅","REGR-06-① 流畅.png",,,⚪ 未测,
REGR-07,历史回归,"过滤器切换不影响选中",REGR,"已选中","1. 切过滤","① 选中行为合理","REGR-07-① 行为.png",,,⚪ 未测,
REGR-08,历史回归,"关键操作用弹窗非 toast",REGR,"模拟 token 过期","1. 触发","① 弹窗 非 toast","REGR-08-① 弹窗.png",,,⚪ 未测,
REGR-09,历史回归,"卡片描边不出界",REGR,"已选中","1. 观察描边","① 不出界","REGR-09-① 描边.png",,,⚪ 未测,
REGR-10,历史回归,"z-index 图层正确",REGR,"无","1. 同时打开多浮层","① 模态框 > overlay > toolbar > 内容","REGR-10-① 图层.png",,,⚪ 未测,
REGR-11,历史回归,"搜索栏覆盖不影响卡片位置",REGR,"无","1. 搜索栏出现/消失","① 卡片不跳","REGR-11-① 不跳.png",,,⚪ 未测,
REGR-12,历史回归,"控制台无红色 Error",REGR,"完成全部用例","1. 看 Console","① 无红色 Error 重点 wss","REGR-12-① Console.png",,,⚪ 未测,
REGR-13,历史回归,"拖拽多选逻辑正常",REGR,"无","1. 空白处拖
2. 卡片内拖","① 空白=框选 卡片内=选文本","REGR-13-① 拖拽.png",,,⚪ 未测,
REGR-14,历史回归,"假数据已替换为真数据",REGR,"无","1. 浏览结果","① 无 lorem/test/mock 残留","REGR-14-① 真数据.png",,,⚪ 未测,
